"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"R18,R27,R28,R74","4","1k8","","","","hackrf:GSG-0402",""
"R19,R30,R31,R32,R33,R34,R77,R78,R79,R80,R81,R86,R87,R88,R89,R90,R91,R94,R96,R98,R99,R100","22","39","","","","hackrf:GSG-0402",""
"R20,R21,R22,R23,R57,R58","6","0","","","","hackrf:GSG-0402",""
"R25,R26","2","475","","","","hackrf:GSG-0402",""
"R38","1","15.4k","","","","hackrf:GSG-0402",""
"R39,R47","2","330k","","","","hackrf:GSG-0402",""
"R42,R43","2","18","","","","hackrf:GSG-0402",""
"R46,R55","2","162k","","","","hackrf:GSG-0402",""
"R56","1","715k","","","","hackrf:GSG-0402",""
"R65","1","18k","","","","hackrf:GSG-0402",""
"R69","1","12k","","","","hackrf:GSG-0402",""
"SW1","1","DFU","","","","hackrf:GSG-SWITCH-FSMRA",""
"SW2","1","RESET","","","","hackrf:GSG-SWITCH-FSMRA",""
"T1","1","MIX_IN_BALUN","","","","hackrf:GSG-B0310J50100AHF",""
"T2","1","MIX_OUT_BALUN","","","","hackrf:GSG-B0310J50100AHF",""
"T3","1","RX_BALUN","","","","hackrf:GSG-2500BL14M100",""
"T4","1","TX_BALUN","","","","hackrf:GSG-2500BL14M100",""
"U1,U2,U5,U6,U7,U10,U11","7","SKY13453","","","","gsg-modules:SKY13350-385LF",""
"U3","1","LOWPASS_FILTER","","","","hackrf:GSG-LP0603",""
"U4","1","RFFC5072","","","","hackrf:GSG-QFN32",""
"U8","1","HIGHPASS_FILTER","","","","hackrf:GSG-HP-DEA",""
"U9,U12,U14","3","SKY13317","","","","hackrf:GSG-SKY13317-373LF",""
"U13,U25","2","MGA-81563","","","","hackrf:GSG-SOT363",""
"U15","1","TVS","","","","hackrf:GSG-LXES1TBCC2-004","~"
"U17","1","MAX2837","","","","hackrf:GSG-QFN48-6",""
"U18","1","MAX5864","","","","hackrf:GSG-QFN48-7",""
"U19","1","SI5351C","","","","hackrf:GSG-QFN20-4",""
"U20","1","W25Q80","","","","hackrf:GSG-SOIC8-208",""
"U21","1","TPS62410","","","","hackrf:GSG-S-PVSON-N10",""
"U23","1","LPC4320FBD144","","","","hackrf:GSG-LQFP144",""
"U24","1","GSG-XC2C64A-7VQG100C","","","","hackrf:GSG-VQ100",""
"X1","1","MAIN_XTAL","","","","hackrf:GSG-XTAL3.2x2.5mm",""
"X2","1","MCU_XTAL","","","","hackrf:GSG-XTAL3.2x2.5mm",""
"X3","1","RTC_XTAL","","","","hackrf:GSG-XTAL-AB26TRQ",""
