"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"P23","1","DBGEN","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P24","1","TRST","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P25","1","LPC_ISP","DNP","","","hackrf:GSG-HEADER-1x6",""
"P26","1","LPC_JTAG","DNP","","","hackrf:GSG-50MIL-HEADER-2x5-TH",""
"P27","1","MIXER_SDATA","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P28","1","SD","","","","hackrf:GSG-HEADER-2x11",""
"P29","1","CPLD_JTAG","DNP","","","hackrf:GSG-HEADER-1x2",""
"P30","1","BANK2_AUX","DNP","","","hackrf:GSG-HEADER-2x10",""
"P31","1","MIXER_SCLK","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P32","1","MIXER_ENX","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P33","1","MIXER_RESETX","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P34","1","MIX_BYPASS","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P35","1","!MIX_BYPASS","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P37","1","SCL","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P38","1","SDA","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P39","1","SSP1_SCK","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P40","1","SSP1_COPI","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P41","1","SSP1_CIPO","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P43","1","RX","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P44","1","HP","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P45","1","LP","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P46","1","TX_MIX_BP","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P47","1","RX_MIX_BP","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P48","1","TX_AMP","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P49","1","RX_AMP","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P50","1","AMP_BYPASS","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P51","1","!TX_AMP_PWR","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P52","1","!RX_AMP_PWR","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P53","1","CS_XCVR","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P54","1","CS_AD","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P55","1","TXENABLE","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P56","1","RXENABLE","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
